882,755,645,39,814,499,262,218,408,117,98,708,858,884,789,900,797,383,124,136,303,671,785,446,689,395,186,162,587,677,146,103,
657,520,750,653,530,835,714,542,321,224,818,770,486,297,682,997,964,783,71,807,426,472,191,875,493,705,121,809,306,425,50,443,
948,294,901,349,678,325,405,43,365,274,146,552,569,560,905,514,137,724,765,776,152,606,202,213,520,285,599,426,1013,423,2,288,
88,325,290,181,449,626,879,418,650,406,61,233,437,7,380,507,1005,605,708,698,795,207,473,977,84,272,897,625,808,736,38,971,
698,196,177,875,580,839,936,933,522,551,667,805,377,31,782,228,399,992,365,840,598,826,68,109,706,487,456,101,41,317,315,379,
156,415,340,369,859,65,704,688,31,539,220,10,95,797,263,882,376,302,480,225,853,454,536,975,441,10,616,84,172,60,821,537,
448,14,157,119,639,670,916,444,876,383,415,383,184,938,525,293,198,272,340,389,143,26,685,549,20,852,689,856,455,930,117,517,
671,895,276,901,811,354,517,595,807,218,514,375,82,193,823,994,544,557,474,136,357,295,271,991,702,209,570,971,305,459,401,589,
845,971,807,291,1010,819,791,773,650,124,944,639,569,730,552,343,610,774,366,199,60,127,410,157,871,109,636,453,1017,373,307,614,
535,955,102,824,107,20,295,690,647,249,159,339,855,258,684,495,337,379,922,246,158,328,112,644,44,19,727,353,677,105,710,993,
609,954,947,98,106,896,760,670,738,105,598,60,791,660,967,631,604,506,919,276,362,570,405,283,857,731,859,988,397,272,573,551,
638,883,635,364,394,28,743,500,694,970,968,1013,73,817,981,33,167,1005,7,701,371,792,780,688,26,947,235,211,615,3,416,589,
179,1009,846,864,702,224,821,24,991,39,307,715,907,424,458,269,205,999,415,875,277,989,985,797,437,309,896,107,784,770,190,55,
1015,358,319,942,331,404,278,763,998,483,295,582,723,482,32,496,581,339,451,204,26,1003,699,404,131,702,504,1015,269,327,375,52,
515,508,31,108,364,856,173,601,486,389,1001,835,671,226,646,377,332,678,802,907,931,574,312,427,262,496,319,183,643,321,270,171,
866,298,703,656,797,514,536,995,494,509,966,800,654,944,149,980,615,295,741,955,478,605,546,628,279,781,856,249,29,33,838,944,
628,681,287,231,840,189,512,929,112,737,765,400,728,445,596,491,651,247,1014,307,179,476,921,485,717,746,990,537,496,156,575,608,
153,578,724,540,605,654,1004,532,989,324,27,617,808,629,929,466,287,262,371,1009,676,363,761,298,924,738,941,502,912,959,199,226,
761,846,193,493,913,50,827,84,677,120,285,464,192,564,101,467,618,70,1023,454,456,641,556,251,660,9,90,658,246,677,539,594,
539,969,146,112,981,584,662,671,130,412,91,402,921,107,79,438,1016,99,86,145,96,52,291,45,707,816,207,48,898,740,987,775,
133,756,590,184,411,181,909,21,564,472,291,1017,782,146,84,555,434,757,135,971,422,692,843,447,904,218,130,929,529,91,313,450,
102,328,532,336,473,518,772,811,463,757,156,1005,565,915,272,638,52,502,53,487,448,359,563,497,486,700,368,406,86,593,564,63,
96,359,165,332,744,410,808,301,973,504,51,954,609,522,537,551,628,623,861,940,965,491,416,236,863,116,784,1018,135,31,237,922,
700,128,102,620,710,799,872,433,912,850,3,193,461,862,437,83,419,682,847,707,996,880,521,433,942,495,25,906,988,631,108,109,
839,310,137,491,574,129,1020,761,520,952,352,706,356,803,855,643,742,148,163,707,125,454,484,116,811,818,160,304,763,238,975,387,
584,280,62,975,456,507,959,533,217,800,466,127,91,585,199,153,407,998,518,703,938,564,727,455,922,692,889,79,49,478,79,105,
366,480,267,179,571,729,775,544,954,51,793,893,242,1000,492,1015,657,612,195,269,222,120,203,818,943,499,380,938,701,930,67,528,
295,437,222,614,539,234,381,523,823,408,729,67,223,976,403,268,90,753,787,577,966,765,166,1019,230,129,74,458,722,824,471,470,
515,737,779,281,553,363,7,637,468,88,967,455,280,640,342,431,296,320,489,18,36,89,164,646,11,272,560,890,611,556,983,54,
388,1011,321,348,867,388,319,782,371,746,231,909,206,151,910,893,10,108,2,837,297,532,748,524,126,979,569,645,295,860,776,856,
790,1005,776,95,141,686,725,807,678,518,399,327,810,223,351,778,512,852,815,609,509,946,904,746,199,314,346,645,685,922,730,833,
658,1007,511,452,168,868,761,675,216,647,173,179,189,799,995,243,223,847,935,820,300,328,687,978,662,1017,490,108,870,660,1005,831,
